userId,displayName,userPrincipalName,imageType,imagePath,sourceImage
e32d0554-5995-4d7c-9cd4-417651b65610,Allen Long,lobral_icloud.com#EXT#@lobralicloud.onmicrosoft.com,human,images/profile_0000_human.jpg,C:\Users\lobra\Documents\Notebooks\UCB\Capstone\sav\ucb_ml_capstone\data\raw\fairface\train\23130.jpg
777c5c6e-6244-4ea9-ac75-437823333e71,Jonathan White,testuser001@lobralicloud.onmicrosoft.com,human,images/profile_0001_human.jpg,C:\Users\lobra\Documents\Notebooks\UCB\Capstone\sav\ucb_ml_capstone\data\raw\fairface\train\28832.jpg
6fc0d1d7-f6e8-4011-b35b-b2e893a0070d,Anna Clark,testuser002@lobralicloud.onmicrosoft.com,human,images/profile_0002_human.jpg,C:\Users\lobra\Documents\Notebooks\UCB\Capstone\sav\ucb_ml_capstone\data\raw\fairface\train\59771.jpg
0116ac41-c41e-481e-8a11-545ca5e9d05a,Jason Jones,testuser003@lobralicloud.onmicrosoft.com,avatar,images/profile_0003_avatar.jpg,C:\Users\lobra\Documents\Notebooks\UCB\Capstone\sav\ucb_ml_capstone\data\raw\avatars\cartoonset100k_jpg\3\cs17298565145347431488.jpg
32282c8a-5014-44a3-bfda-1ae66ee00d65,Ashley Lewis,testuser004@lobralicloud.onmicrosoft.com,human,images/profile_0004_human.jpg,C:\Users\lobra\Documents\Notebooks\UCB\Capstone\sav\ucb_ml_capstone\data\raw\fairface\train\20253.jpg
85ccbe18-cb9c-4c93-b66b-c08375f7e4e7,Andrew Smith,testuser005@lobralicloud.onmicrosoft.com,human,images/profile_0005_human.jpg,C:\Users\lobra\Documents\Notebooks\UCB\Capstone\sav\ucb_ml_capstone\data\raw\fairface\train\50135.jpg
c9696683-316b-4d52-b959-79ccac3f9726,William Scott,testuser006@lobralicloud.onmicrosoft.com,avatar,images/profile_0006_avatar.jpg,C:\Users\lobra\Documents\Notebooks\UCB\Capstone\sav\ucb_ml_capstone\data\raw\avatars\cartoonset100k_jpg\7\cs6325168840407781331.jpg
f1bd4129-959a-444c-9422-bb93eede8ccb,Jason Taylor,testuser007@lobralicloud.onmicrosoft.com,animal,images/profile_0007_animal.jpg,C:\Users\lobra\Documents\Notebooks\UCB\Capstone\sav\ucb_ml_capstone\data\raw\animal_faces\dogs_vs_cats\train\dogs\dog.1571.jpg
60193a19-a0d6-4ff6-87fa-8091df00e781,Donald Lopez,testuser008@lobralicloud.onmicrosoft.com,human,images/profile_0008_human.jpg,C:\Users\lobra\Documents\Notebooks\UCB\Capstone\sav\ucb_ml_capstone\data\raw\fairface\val\6535.jpg
6ec48164-2e47-4f4f-8ce6-138d5159572e,Michelle Hernandez,testuser009@lobralicloud.onmicrosoft.com,human,images/profile_0009_human.jpg,C:\Users\lobra\Documents\Notebooks\UCB\Capstone\sav\ucb_ml_capstone\data\raw\fairface\train\35790.jpg
0bb10f95-496c-41b1-a865-f44589e14bc2,Deborah Hill,testuser010@lobralicloud.onmicrosoft.com,animal,images/profile_0010_animal.jpg,C:\Users\lobra\Documents\Notebooks\UCB\Capstone\sav\ucb_ml_capstone\data\raw\animal_faces\train\dogs\dog.5537.jpg
3c71b111-5bd7-4a66-ac00-33ee02ea37e5,Steven Miller,testuser011@lobralicloud.onmicrosoft.com,human,images/profile_0011_human.jpg,C:\Users\lobra\Documents\Notebooks\UCB\Capstone\sav\ucb_ml_capstone\data\raw\fairface\train\35398.jpg
ed3c08b1-f6bb-4598-bb90-a992026ab043,Melissa Adams,testuser012@lobralicloud.onmicrosoft.com,human,images/profile_0012_human.jpg,C:\Users\lobra\Documents\Notebooks\UCB\Capstone\sav\ucb_ml_capstone\data\raw\fairface\train\33454.jpg
62aa7fb4-e479-4feb-bd97-9f82989ad3f3,Gary Smith,testuser013@lobralicloud.onmicrosoft.com,human,images/profile_0013_human.jpg,C:\Users\lobra\Documents\Notebooks\UCB\Capstone\sav\ucb_ml_capstone\data\raw\fairface\train\12949.jpg
e7ac33d4-bd62-44ba-8905-be14e836ffb4,Dorothy Baker,testuser014@lobralicloud.onmicrosoft.com,human,images/profile_0014_human.jpg,C:\Users\lobra\Documents\Notebooks\UCB\Capstone\sav\ucb_ml_capstone\data\raw\fairface\train\74332.jpg
90186ee7-e5d6-4cc2-af8e-667c9d72b903,Sandra Mitchell,testuser015@lobralicloud.onmicrosoft.com,human,images/profile_0015_human.jpg,C:\Users\lobra\Documents\Notebooks\UCB\Capstone\sav\ucb_ml_capstone\data\raw\fairface\val\9442.jpg
6b52c75e-4c23-434b-b5da-1862a7f8570b,Barbara Parker,testuser016@lobralicloud.onmicrosoft.com,animal,images/profile_0016_animal.jpg,C:\Users\lobra\Documents\Notebooks\UCB\Capstone\sav\ucb_ml_capstone\data\raw\animal_faces\dogs_vs_cats\train\dogs\dog.10284.jpg
cab42e40-99f3-44a2-88c7-85273d186119,George Roberts,testuser017@lobralicloud.onmicrosoft.com,human,images/profile_0017_human.jpg,C:\Users\lobra\Documents\Notebooks\UCB\Capstone\sav\ucb_ml_capstone\data\raw\fairface\train\36329.jpg
54f06dc4-50c0-4fde-8818-7741b6031bd4,Anna Wright,testuser018@lobralicloud.onmicrosoft.com,human,images/profile_0018_human.jpg,C:\Users\lobra\Documents\Notebooks\UCB\Capstone\sav\ucb_ml_capstone\data\raw\fairface\train\81014.jpg
c07218a7-d46b-4519-9b4d-77e2c6cb0a2d,Laura Morris,testuser019@lobralicloud.onmicrosoft.com,avatar,images/profile_0019_avatar.jpg,C:\Users\lobra\Documents\Notebooks\UCB\Capstone\sav\ucb_ml_capstone\data\raw\avatars\cartoonset100k_jpg\9\cs9340599509488232679.jpg
592f3bbc-8197-41d1-bbfc-cae8ed609725,Joseph Taylor,testuser020@lobralicloud.onmicrosoft.com,no_pic,,
bd790396-454f-47f4-b5ef-50bb8989a689,Shirley Anderson,testuser021@lobralicloud.onmicrosoft.com,avatar,images/profile_0021_avatar.jpg,C:\Users\lobra\Documents\Notebooks\UCB\Capstone\sav\ucb_ml_capstone\data\raw\avatars\cartoonset100k_jpg\1\cs13970798355759785087.jpg
643f58cd-66c6-4f14-b38f-4eca68cbb4cc,Melissa Sanchez,testuser022@lobralicloud.onmicrosoft.com,human,images/profile_0022_human.jpg,C:\Users\lobra\Documents\Notebooks\UCB\Capstone\sav\ucb_ml_capstone\data\raw\fairface\train\22054.jpg
1dd74a67-32cd-4928-b46f-76fc167c7861,Kevin Wright,testuser023@lobralicloud.onmicrosoft.com,human,images/profile_0023_human.jpg,C:\Users\lobra\Documents\Notebooks\UCB\Capstone\sav\ucb_ml_capstone\data\raw\fairface\train\59488.jpg
b6e2f7df-7db2-446c-81ca-6d4317102f52,Gary Lee,testuser024@lobralicloud.onmicrosoft.com,avatar,images/profile_0024_avatar.jpg,C:\Users\lobra\Documents\Notebooks\UCB\Capstone\sav\ucb_ml_capstone\data\raw\avatars\cartoonset100k_jpg\0\cs1236637935683027735.jpg
6670a55d-49a7-41d8-b344-8a08e98a013d,Thomas Clark,testuser025@lobralicloud.onmicrosoft.com,avatar,images/profile_0025_avatar.jpg,C:\Users\lobra\Documents\Notebooks\UCB\Capstone\sav\ucb_ml_capstone\data\raw\avatars\cartoonset100k_jpg\8\cs7334522493587024998.jpg
2b6e4319-808e-4c68-b575-0560e42ad20b,Joseph Turner,testuser026@lobralicloud.onmicrosoft.com,no_pic,,
